filename;realLV;realRV;realFac;maxRVArgs;maxRVocc;facArgs;allRVMentioned
out/a-00-10,100,1000#export-001_002_001-2_4_2.blog;1;2;1;2;1;2;true
out/a-00-10,100,1000#export-002_004_003-2_4_2.blog;2;4;3;2;2;2;true
out/a-00-10,100,1000#export-003_006_005-2_4_2.blog;3;6;5;2;2;2;true
out/a-00-10,100,1000#export-004_008_007-2_4_2.blog;4;8;7;2;2;2;true
out/a-00-10,100,1000#export-005_010_009-2_4_2.blog;5;10;9;2;3;2;true
out/a-00-10,100,1000#export-006_012_011-2_4_2.blog;6;12;11;2;3;2;true
out/a-00-10,100,1000#export-007_014_013-2_4_2.blog;7;14;13;2;3;2;true
out/a-00-10,100,1000#export-008_016_015-2_4_2.blog;8;16;15;2;3;2;true
out/a-00-10,100,1000#export-009_018_017-2_4_2.blog;9;18;17;2;3;2;true
out/a-00-10,100,1000#export-010_020_019-2_4_2.blog;10;20;19;2;3;2;true
out/a-00-10,100,1000#export-011_022_021-2_4_2.blog;11;22;21;2;3;2;true
out/a-00-10,100,1000#export-012_024_023-2_4_2.blog;12;24;23;2;4;2;true
out/a-00-10,100,1000#export-013_026_025-2_4_2.blog;13;26;25;2;4;2;true
out/a-00-10,100,1000#export-014_028_027-2_4_2.blog;14;28;27;2;4;2;true
out/a-00-10,100,1000#export-015_030_029-2_4_2.blog;15;30;29;2;4;2;true
out/a-00-10,100,1000#export-016_032_031-2_4_2.blog;16;32;31;2;4;2;true
out/a-00-10,100,1000#export-017_034_033-2_4_2.blog;17;34;33;2;4;2;true
out/a-00-10,100,1000#export-018_036_035-2_4_2.blog;18;36;35;2;4;2;true
out/a-00-10,100,1000#export-019_038_037-2_4_2.blog;19;38;37;2;5;2;true
out/a-00-10,100,1000#export-020_040_039-2_4_2.blog;20;40;39;2;5;2;true
