file;rvOccNumber;count
out/a-00-10,100,1000#export-001_002_001-2_4_2.blog;0;0
out/a-00-10,100,1000#export-001_002_001-2_4_2.blog;1;2
out/a-00-10,100,1000#export-002_004_003-2_4_2.blog;0;0
out/a-00-10,100,1000#export-002_004_003-2_4_2.blog;1;2
out/a-00-10,100,1000#export-002_004_003-2_4_2.blog;2;2
out/a-00-10,100,1000#export-003_006_005-2_4_2.blog;0;0
out/a-00-10,100,1000#export-003_006_005-2_4_2.blog;1;2
out/a-00-10,100,1000#export-003_006_005-2_4_2.blog;2;4
out/a-00-10,100,1000#export-004_008_007-2_4_2.blog;0;0
out/a-00-10,100,1000#export-004_008_007-2_4_2.blog;1;2
out/a-00-10,100,1000#export-004_008_007-2_4_2.blog;2;6
out/a-00-10,100,1000#export-005_010_009-2_4_2.blog;0;0
out/a-00-10,100,1000#export-005_010_009-2_4_2.blog;1;3
out/a-00-10,100,1000#export-005_010_009-2_4_2.blog;2;6
out/a-00-10,100,1000#export-005_010_009-2_4_2.blog;3;1
out/a-00-10,100,1000#export-006_012_011-2_4_2.blog;0;0
out/a-00-10,100,1000#export-006_012_011-2_4_2.blog;1;3
out/a-00-10,100,1000#export-006_012_011-2_4_2.blog;2;8
out/a-00-10,100,1000#export-006_012_011-2_4_2.blog;3;1
out/a-00-10,100,1000#export-007_014_013-2_4_2.blog;0;0
out/a-00-10,100,1000#export-007_014_013-2_4_2.blog;1;4
out/a-00-10,100,1000#export-007_014_013-2_4_2.blog;2;8
out/a-00-10,100,1000#export-007_014_013-2_4_2.blog;3;2
out/a-00-10,100,1000#export-008_016_015-2_4_2.blog;0;0
out/a-00-10,100,1000#export-008_016_015-2_4_2.blog;1;5
out/a-00-10,100,1000#export-008_016_015-2_4_2.blog;2;8
out/a-00-10,100,1000#export-008_016_015-2_4_2.blog;3;3
out/a-00-10,100,1000#export-009_018_017-2_4_2.blog;0;0
out/a-00-10,100,1000#export-009_018_017-2_4_2.blog;1;6
out/a-00-10,100,1000#export-009_018_017-2_4_2.blog;2;8
out/a-00-10,100,1000#export-009_018_017-2_4_2.blog;3;4
out/a-00-10,100,1000#export-010_020_019-2_4_2.blog;0;0
out/a-00-10,100,1000#export-010_020_019-2_4_2.blog;1;7
out/a-00-10,100,1000#export-010_020_019-2_4_2.blog;2;8
out/a-00-10,100,1000#export-010_020_019-2_4_2.blog;3;5
out/a-00-10,100,1000#export-011_022_021-2_4_2.blog;0;0
out/a-00-10,100,1000#export-011_022_021-2_4_2.blog;1;7
out/a-00-10,100,1000#export-011_022_021-2_4_2.blog;2;10
out/a-00-10,100,1000#export-011_022_021-2_4_2.blog;3;5
out/a-00-10,100,1000#export-012_024_023-2_4_2.blog;0;0
out/a-00-10,100,1000#export-012_024_023-2_4_2.blog;1;8
out/a-00-10,100,1000#export-012_024_023-2_4_2.blog;2;11
out/a-00-10,100,1000#export-012_024_023-2_4_2.blog;3;4
out/a-00-10,100,1000#export-012_024_023-2_4_2.blog;4;1
out/a-00-10,100,1000#export-013_026_025-2_4_2.blog;0;0
out/a-00-10,100,1000#export-013_026_025-2_4_2.blog;1;9
out/a-00-10,100,1000#export-013_026_025-2_4_2.blog;2;12
out/a-00-10,100,1000#export-013_026_025-2_4_2.blog;3;3
out/a-00-10,100,1000#export-013_026_025-2_4_2.blog;4;2
out/a-00-10,100,1000#export-014_028_027-2_4_2.blog;0;0
out/a-00-10,100,1000#export-014_028_027-2_4_2.blog;1;10
out/a-00-10,100,1000#export-014_028_027-2_4_2.blog;2;12
out/a-00-10,100,1000#export-014_028_027-2_4_2.blog;3;4
out/a-00-10,100,1000#export-014_028_027-2_4_2.blog;4;2
out/a-00-10,100,1000#export-015_030_029-2_4_2.blog;0;0
out/a-00-10,100,1000#export-015_030_029-2_4_2.blog;1;11
out/a-00-10,100,1000#export-015_030_029-2_4_2.blog;2;12
out/a-00-10,100,1000#export-015_030_029-2_4_2.blog;3;5
out/a-00-10,100,1000#export-015_030_029-2_4_2.blog;4;2
out/a-00-10,100,1000#export-016_032_031-2_4_2.blog;0;0
out/a-00-10,100,1000#export-016_032_031-2_4_2.blog;1;12
out/a-00-10,100,1000#export-016_032_031-2_4_2.blog;2;12
out/a-00-10,100,1000#export-016_032_031-2_4_2.blog;3;6
out/a-00-10,100,1000#export-016_032_031-2_4_2.blog;4;2
out/a-00-10,100,1000#export-017_034_033-2_4_2.blog;0;0
out/a-00-10,100,1000#export-017_034_033-2_4_2.blog;1;12
out/a-00-10,100,1000#export-017_034_033-2_4_2.blog;2;14
out/a-00-10,100,1000#export-017_034_033-2_4_2.blog;3;6
out/a-00-10,100,1000#export-017_034_033-2_4_2.blog;4;2
out/a-00-10,100,1000#export-018_036_035-2_4_2.blog;0;0
out/a-00-10,100,1000#export-018_036_035-2_4_2.blog;1;12
out/a-00-10,100,1000#export-018_036_035-2_4_2.blog;2;16
out/a-00-10,100,1000#export-018_036_035-2_4_2.blog;3;6
out/a-00-10,100,1000#export-018_036_035-2_4_2.blog;4;2
out/a-00-10,100,1000#export-019_038_037-2_4_2.blog;0;0
out/a-00-10,100,1000#export-019_038_037-2_4_2.blog;1;13
out/a-00-10,100,1000#export-019_038_037-2_4_2.blog;2;17
out/a-00-10,100,1000#export-019_038_037-2_4_2.blog;3;6
out/a-00-10,100,1000#export-019_038_037-2_4_2.blog;4;1
out/a-00-10,100,1000#export-019_038_037-2_4_2.blog;5;1
out/a-00-10,100,1000#export-020_040_039-2_4_2.blog;0;0
out/a-00-10,100,1000#export-020_040_039-2_4_2.blog;1;14
out/a-00-10,100,1000#export-020_040_039-2_4_2.blog;2;17
out/a-00-10,100,1000#export-020_040_039-2_4_2.blog;3;7
out/a-00-10,100,1000#export-020_040_039-2_4_2.blog;4;1
out/a-00-10,100,1000#export-020_040_039-2_4_2.blog;5;1
